2022-06-27 10:40:36,899 - G:/git_alg/prepare_project/Wav2Lip/utils/oss_file_utils.py[line:47] - INFO: upload file is G:/git_alg/prepare_project/Wav2Lip/temp/test4_clip.mp4, try num:0
2022-06-27 10:59:56,058 - G:/git_alg/prepare_project/Wav2Lip/utils/oss_file_utils.py[line:18] - ERROR: Something went wrong while downloading.
2022-06-27 11:00:47,574 - G:/git_alg/prepare_project/Wav2Lip/utils/oss_file_utils.py[line:18] - ERROR: Something went wrong while downloading.
2022-06-27 11:04:15,498 - G:/git_alg/prepare_project/Wav2Lip/utils/oss_file_utils.py[line:38] - INFO: upload file is G:/git_alg/prepare_project/Wav2Lip/temp/test4_clip.mp4, try num:0
2022-06-27 14:18:35,512 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 14:21:27,877 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 14:30:53,254 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 15:53:08,758 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 15:53:45,103 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 16:11:50,115 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 16:13:13,473 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 16:52:50,717 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 17:02:37,211 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/test4_clip.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-27 17:58:15,822 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/video_test.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-28 15:19:38,039 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/video_test.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
2022-06-28 16:18:35,235 - G:/git_alg/prepare_project/Wav2Lip/utils/kafka_utils.py[line:30] - INFO: topic partition:0, key :audio_url,value is {'video_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/video_test.mp4', 'audio_url': 'https://test-video-lip-1309770014.cos.ap-nanjing.myqcloud.com/audio_3.mp3'}
